"campus","sample_type","sample_subtype","classcode","orig_classcode","Kingdom","Phylum","Class","Order","Family","Genus","Species","species_definition","taxonomic_source","taxonomic_id","common_name","notes","size_cutoff","LOOKED1999","LOOKED2000","LOOKED2001","LOOKED2002","LOOKED2003","LOOKED2004","LOOKED2005","LOOKED2006","LOOKED2007","LOOKED2008","LOOKED2009","LOOKED2010","LOOKED2011","LOOKED2012","LOOKED2013","LOOKED2014","LOOKED2015","LOOKED2016","LOOKED2017","LOOKED2018","LOOKED2019","LOOKED2020","LOOKED2021"
"VRG","SWATH","INVERT","CADLIM","Cadlina limbaughorum","Animalia","Mollusca","Gastropoda","Nudibranchia","Cadlinidae","Cadlina","limbaughorum","Cadlina limbaughorum","WoRMS","581803","Nudibranch",NA,">2.5cm, longest dimension","no","no","no","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"VRG","SWATH","INVERT","CALANN","Calliostoma annulatum","Animalia","Mollusca","Gastropoda","Trochida","Calliostomatidae","Calliostoma","annulatum","Calliostoma annulatum","WoRMS","534197","Purple Ringed Topsnail",NA,">2.5cm, longest dimension","no","no","no","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"VRG","SWATH","INVERT","CALDLUT","Cadlina luteomarginata","Animalia","Mollusca","Gastropoda","Nudibranchia","Cadlinidae","Cadlina","luteomarginata","Cadlina luteomarginata","WoRMS","562476","Nudibranch",NA,">2.5cm, longest dimension","no","no","no","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","SWATH","INVERT","CALSPP","CALSPP","Animalia","Mollusca","Gastropoda","Trochida","Calliostomatidae","Calliostoma","spp","Calliostoma","WoRMS","138584","Top Snail","Not sampled.",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"HSU","SWATH","INVERT","CANSPP","CANSPP","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae",NA,NA,"Cancridae","WoRMS","106749","Cancer Crab",NA,">2.5cm, longest dimension","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","yes","yes","yes","yes"
"UCSB","SWATH","INVERT","CANSPP","CANSPP","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae",NA,NA,"Cancridae","WoRMS","106749","Cancer Crab",NA,">2.5cm, longest dimension","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","SWATH","INVERT","CANSPP","CANSPP","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae",NA,NA,"Cancridae","WoRMS","106749","Cancer Crab",NA,">2.5cm, longest dimension","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"VRG","SWATH","INVERT","CANSPP","Cancer sp","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae",NA,NA,"Cancridae","WoRMS","106749","Cancer Crab",NA,">2.5cm, longest dimension","no","no","no","no","no","yes","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","SWATH","INVERT","CENCOR","CENCOR","Animalia","Echinodermata","Echinoidea","Diadematoida","Diadematidae","Centrostephanus","coronatus","Centrostephanus coronatus","WoRMS","513165","Coronado Urchin, Crowned Urchin","At UCSB this species was sampled on swath transects instead of quadrats starting in 2002",">2.5cm, longest dimension","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","SWATH","INVERT","CENCOR","CENCOR","Animalia","Echinodermata","Echinoidea","Diadematoida","Diadematidae","Centrostephanus","coronatus","Centrostephanus coronatus","WoRMS","513165","Coronado Urchin, Crowned Urchin","At UCSB this species was sampled on swath transects instead of quadrats starting in 2002","all sizes","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"VRG","SWATH","INVERT","CENCOR","Centrostephanus coronatus","Animalia","Echinodermata","Echinoidea","Diadematoida","Diadematidae","Centrostephanus","coronatus","Centrostephanus coronatus","WoRMS","513165","Coronado Urchin, Crowned Urchin",NA,">2.5cm, longest dimension","no","no","no","no","no","yes","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"HSU","SWATH","INVERT","CERFOL","CERFOL","Animalia","Mollusca","Gastropoda","Neogastropoda","Muricidae","Ceratostoma","foliatum","Ceratostoma foliatum","WoRMS","240767","Leafy Hornmouth",NA,">2.5cm, longest dimension","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","yes","yes","yes","yes"
"UCSB","SWATH","INVERT","CERFOL","CERFOL","Animalia","Mollusca","Gastropoda","Neogastropoda","Muricidae","Ceratostoma","foliatum","Ceratostoma foliatum","WoRMS","240767","Leafy Hornmouth","Not sampled. Was counted on quadrats",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSC","SWATH","INVERT","CERFOL","CERFOL","Animalia","Mollusca","Gastropoda","Neogastropoda","Muricidae","Ceratostoma","foliatum","Ceratostoma foliatum","WoRMS","240767","Leafy Hornmouth","This species is counted on quadrats at southern California sites",">2.5cm, longest dimension","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
